"split","aAcc","fAcc","qAcc"
"Overall","65.8254468980021","40.17341040462428","39.78021978021978"
"VS","65.83333333333333","37.06896551724138","43.258426966292134"
"VD","65.82064297800339","41.73913043478261","37.545126353790614"
"VS_map","54.6875","31.818181818181817","15.625"
"VD_math","62.03703703703704","33.33333333333333","35.18518518518518"
"VS_chart","71.53846153846153","40.0","60.526315789473685"
"VS_ocr","62.96296296296296","42.30769230769231","25.925925925925924"
"VS_table","66.96428571428571","32.142857142857146","44.18604651162791"
"VD_illusion","66.66666666666666","43.54838709677419","37.5"
"VD_ocr","76.40449438202246","55.81395348837209","53.48837209302325"
"VD_figure","77.5","63.41463414634146","56.41025641025641"
"VD_video","56.470588235294116","14.583333333333334","18.84057971014493"
