"split","aAcc","fAcc","qAcc"
"Overall","49.8422712933754","28.32369942196532","28.13186813186813"
"VS","61.111111111111114","36.206896551724135","37.07865168539326"
"VD","42.978003384094755","24.347826086956523","22.382671480144403"
"VD_video","42.35294117647059","8.333333333333332","14.492753623188406"
"VS_table","80.35714285714286","50.0","60.46511627906976"
"VD_ocr","83.14606741573034","69.76744186046511","67.44186046511628"
"VS_chart","52.307692307692314","27.500000000000004","38.15789473684211"
"VS_map","46.875","27.27272727272727","12.5"
"VD_math","31.48148148148148","5.555555555555555","14.814814814814813"
"VS_ocr","59.25925925925925","42.30769230769231","25.925925925925924"
"VD_figure","55.00000000000001","34.146341463414636","30.76923076923077"
"VD_illusion","20.833333333333336","9.67741935483871","4.166666666666666"
