"split","aAcc","fAcc","qAcc"
"Overall","65.0893796004206","36.99421965317919","37.8021978021978"
"VS","72.77777777777777","42.241379310344826","52.80898876404494"
"VD","60.40609137055838","34.34782608695652","28.158844765342963"
"VD_math","64.81481481481481","25.0","38.88888888888889"
"VS_ocr","64.81481481481481","38.46153846153847","33.33333333333333"
"VS_map","62.5","31.818181818181817","28.125"
"VD_figure","67.5","48.78048780487805","33.33333333333333"
"VD_video","48.23529411764706","4.166666666666666","7.246376811594203"
"VD_illusion","59.72222222222222","41.935483870967744","25.0"
"VD_ocr","73.03370786516854","51.162790697674424","48.837209302325576"
"VS_table","84.82142857142857","64.28571428571429","69.76744186046511"
"VS_chart","70.76923076923077","35.0","60.526315789473685"
