"split","aAcc","fAcc","qAcc"
"Overall","54.4689800210305","24.566473988439306","24.835164835164836"
"VS","52.77777777777778","18.96551724137931","25.280898876404496"
"VD","55.499153976311334","27.391304347826086","24.548736462093864"
"VD_illusion","57.638888888888886","24.193548387096776","23.61111111111111"
"VD_math","45.370370370370374","8.333333333333332","18.51851851851852"
"VS_chart","47.69230769230769","12.5","32.89473684210527"
"VD_ocr","76.40449438202246","55.81395348837209","53.48837209302325"
"VD_video","46.470588235294116","8.333333333333332","13.043478260869565"
"VS_ocr","51.85185185185185","30.76923076923077","14.814814814814813"
"VD_figure","61.25000000000001","41.46341463414634","23.076923076923077"
"VS_map","39.0625","9.090909090909092","0.0"
"VS_table","66.96428571428571","25.0","37.2093023255814"
