"split","aAcc","fAcc","qAcc"
"Overall","22.60778128286015","2.023121387283237","4.615384615384616"
"VD","22.504230118443317","2.1739130434782608","3.2490974729241873"
"VS","22.77777777777778","1.7241379310344827","6.741573033707865"
"VD_figure","30.0","4.878048780487805","2.564102564102564"
"VS_ocr","18.51851851851852","3.8461538461538463","3.7037037037037033"
"VD_video","24.705882352941178","2.083333333333333","2.898550724637681"
"VD_illusion","14.583333333333334","1.6129032258064515","4.166666666666666"
"VD_math","18.51851851851852","2.7777777777777777","3.7037037037037033"
"VS_chart","26.923076923076923","2.5","11.842105263157894"
"VS_table","24.107142857142858","0.0","4.651162790697675"
"VS_map","15.625","0.0","0.0"
"VD_ocr","29.213483146067414","0.0","2.3255813953488373"
