"split","aAcc","fAcc","qAcc"
"Overall","55.310199789695055","28.034682080924856","25.494505494505493"
"VD","54.653130287648054","31.30434782608696","23.104693140794225"
"VS","56.388888888888886","21.551724137931032","29.213483146067414"
"VS_map","48.4375","22.727272727272727","9.375"
"VS_table","62.5","28.57142857142857","34.883720930232556"
"VD_ocr","76.40449438202246","58.139534883720934","53.48837209302325"
"VS_ocr","61.111111111111114","30.76923076923077","22.22222222222222"
"VD_math","37.03703703703704","8.333333333333332","11.11111111111111"
"VD_illusion","59.72222222222222","32.25806451612903","22.22222222222222"
"VD_video","44.11764705882353","8.333333333333332","7.246376811594203"
"VD_figure","67.5","48.78048780487805","35.8974358974359"
"VS_chart","53.07692307692308","10.0","36.84210526315789"
