"split","aAcc","fAcc","qAcc"
"Overall","57.51840168243953","27.74566473988439","28.79120879120879"
"VS","62.5","27.586206896551722","37.07865168539326"
"VD","54.483925549915405","27.82608695652174","23.465703971119133"
"VD_video","45.294117647058826","6.25","8.695652173913043"
"VD_ocr","70.78651685393258","46.51162790697674","44.18604651162791"
"VD_figure","65.0","36.58536585365854","33.33333333333333"
"VS_map","59.375","22.727272727272727","18.75"
"VS_ocr","61.111111111111114","34.61538461538461","22.22222222222222"
"VS_table","64.28571428571429","28.57142857142857","41.86046511627907"
"VS_chart","63.07692307692307","25.0","47.368421052631575"
"VD_math","42.592592592592595","8.333333333333332","16.666666666666664"
"VD_illusion","58.333333333333336","37.096774193548384","25.0"
