"split","aAcc","fAcc","qAcc"
"Overall","49.21135646687697","22.832369942196532","14.725274725274726"
"VS","44.44444444444444","13.793103448275861","13.48314606741573"
"VD","52.115059221658214","27.391304347826086","15.523465703971121"
"VS_map","43.75","9.090909090909092","3.125"
"VS_chart","36.15384615384615","5.0","17.105263157894736"
"VD_ocr","66.29213483146067","34.883720930232556","30.23255813953488"
"VS_ocr","57.407407407407405","38.46153846153847","18.51851851851852"
"VD_figure","66.25","51.21951219512195","30.76923076923077"
"VS_table","48.214285714285715","7.142857142857142","11.627906976744185"
"VD_video","50.588235294117645","6.25","5.797101449275362"
"VD_math","37.96296296296296","5.555555555555555","11.11111111111111"
"VD_illusion","47.91666666666667","35.483870967741936","11.11111111111111"
