"split","aAcc","fAcc","qAcc"
"Overall","66.98212407991588","37.283236994219656","38.901098901098905"
"VD","64.80541455160744","38.69565217391304","32.851985559566785"
"VS","70.55555555555556","34.48275862068966","48.31460674157304"
"VD_ocr","80.89887640449437","65.11627906976744","62.7906976744186"
"VS_map","57.8125","18.181818181818183","18.75"
"VD_figure","75.0","60.97560975609756","48.717948717948715"
"VD_illusion","61.111111111111114","29.03225806451613","23.61111111111111"
"VS_table","76.78571428571429","46.42857142857143","60.46511627906976"
"VD_video","52.94117647058824","12.5","7.246376811594203"
"VS_ocr","59.25925925925925","34.61538461538461","18.51851851851852"
"VS_chart","76.15384615384615","35.0","64.47368421052632"
"VD_math","67.5925925925926","33.33333333333333","42.592592592592595"
