"split","aAcc","fAcc","qAcc"
"Overall","58.88538380651946","34.39306358381503","34.065934065934066"
"VD","54.99153976311336","33.47826086956522","27.075812274368232"
"VS","65.27777777777779","36.206896551724135","44.9438202247191"
"VD_math","49.074074074074076","22.22222222222222","24.074074074074073"
"VS_table","68.75","42.857142857142854","44.18604651162791"
"VD_ocr","70.78651685393258","53.48837209302325","51.162790697674424"
"VD_illusion","47.91666666666667","35.483870967741936","18.055555555555554"
"VD_figure","72.5","53.65853658536586","51.28205128205128"
"VS_map","50.0","22.727272727272727","9.375"
"VS_ocr","64.81481481481481","46.15384615384615","40.74074074074074"
"VS_chart","70.0","32.5","61.8421052631579"
"VD_video","48.23529411764706","4.166666666666666","10.144927536231885"
