"split","aAcc","fAcc","qAcc"
"Overall","61.72450052576236","36.70520231213873","35.38461538461539"
"VS","73.61111111111111","47.41379310344828","51.68539325842697"
"VD","54.483925549915405","31.30434782608696","24.90974729241877"
"VS_chart","74.61538461538461","45.0","61.8421052631579"
"VD_ocr","78.65168539325843","60.46511627906976","58.139534883720934"
"VD_figure","63.74999999999999","36.58536585365854","33.33333333333333"
"VD_math","47.22222222222222","13.88888888888889","24.074074074074073"
"VD_video","41.76470588235294","8.333333333333332","4.3478260869565215"
"VD_illusion","54.861111111111114","35.483870967741936","20.833333333333336"
"VS_ocr","62.96296296296296","46.15384615384615","29.629629629629626"
"VS_map","57.8125","27.27272727272727","21.875"
"VS_table","86.60714285714286","67.85714285714286","69.76744186046511"
